Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	27		1308	154	#N/A	#N/A	1552	0.11 %	0.26	36.47	87.16	2.39	0.237	0.436	2.045	0.323	675.991	0.000	0.176	0.781	0.088	273.740	0.000	0.199	0.860	0.150	308.493	0.000	0.981	6.414	1.372	1523.236	0.000	0.465	1.352	0.202	721.909	0.000	0.037	0.214	0.036	56.918	0.000	0.059	0.159	0.021	91.864	0.513	0.803	1.125	0.081	1246.094			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	28		1000	178	#N/A	#N/A	4512	0.31 %	0.26	70.81	111.38	1.57	0.165	0.324	1.493	0.208	1462.787	0.000	0.213	1.479	0.176	962.244	0.000	0.139	1.329	0.151	627.092	0.000	0.694	8.639	1.060	3129.887	0.000	0.391	1.640	0.190	1763.313	0.000	0.038	0.448	0.043	171.034	0.000	0.059	0.180	0.021	268.059	0.489	0.725	1.004	0.068	3269.146			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	29		1124	218	#N/A	#N/A	1120	0.08 %	0.34	36.61	55.02	1.50	0.205	0.362	1.164	0.185	404.928	0.005	0.155	0.493	0.043	173.090	0.000	0.111	0.400	0.079	124.817	0.000	0.109	0.930	0.128	122.292	0.000	0.433	0.862	0.130	484.893	0.000	0.025	0.100	0.021	27.464	0.005	0.055	0.150	0.017	61.173	0.504	0.819	1.145	0.104	916.873			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	30		1292	224	#N/A	#N/A	896	0.06 %	0.32	30.84	51.65	1.67	0.191	0.393	1.635	0.215	352.034	0.040	0.349	1.414	0.239	312.858	0.000	0.345	1.247	0.217	308.939	0.000	2.434	8.405	1.845	2181.100	0.000	0.665	1.814	0.280	595.569	0.000	0.097	0.346	0.068	86.651	0.007	0.077	0.181	0.026	68.854	0.613	0.848	1.110	0.093	759.552			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	31		1350	258	#N/A	#N/A	3120	0.22 %	0.44	49.82	96.23	1.93	0.169	0.331	1.575	0.169	1031.919	0.000	0.267	1.477	0.194	833.391	0.000	0.258	1.274	0.206	806.517	0.000	1.898	10.101	1.962	5920.267	0.000	0.572	2.665	0.340	1785.594	0.000	0.131	2.887	0.299	410.259	0.000	0.067	0.247	0.031	209.390	0.514	0.806	1.106	0.097	2516.115			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	32		928	368	#N/A	#N/A	1184	0.08 %	0.36	25.28	70.27	2.78	0.205	0.279	0.504	0.041	330.450	0.000	0.405	1.551	0.306	479.631	0.000	0.267	1.429	0.237	316.312	0.000	1.415	6.778	1.523	1674.787	0.000	0.365	1.978	0.272	432.460	0.000	0.057	0.327	0.051	67.326	0.010	0.070	0.193	0.027	82.355	0.567	0.805	1.306	0.108	953.469			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	33		1218	434	#N/A	#N/A	4704	0.32 %	0.21	60.86	159.55	2.62	0.156	0.247	0.929	0.095	1162.478	0.000	0.394	1.638	0.254	1855.430	0.000	0.243	1.439	0.197	1144.922	0.000	2.178	8.823	1.517	10243.236	0.000	0.440	2.302	0.304	2068.933	0.000	0.081	1.204	0.091	381.445	0.000	0.069	0.200	0.025	325.529	0.470	0.716	0.960	0.076	3366.352			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	34		724	406	#N/A	#N/A	1408	0.10 %	0.28	39.99	76.27	1.91	0.205	0.343	1.138	0.162	482.988	0.045	0.537	3.218	0.469	755.839	0.000	0.120	0.827	0.123	168.804	0.000	0.547	5.291	0.572	769.910	0.000	0.337	1.254	0.174	474.893	0.000	0.036	0.191	0.028	50.318	0.011	0.060	0.117	0.016	84.115	0.560	0.767	1.099	0.069	1080.431			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	35		886	394	#N/A	#N/A	1024	0.07 %	0.31	26.46	63.98	2.42	0.196	0.259	0.691	0.058	265.588	0.047	0.166	0.809	0.106	170.475	0.000	0.059	0.440	0.067	60.837	0.000	0.167	2.699	0.225	171.494	0.000	0.261	0.885	0.117	267.340	0.000	0.020	0.092	0.017	20.020	0.009	0.051	0.108	0.015	52.661	0.518	0.712	0.974	0.084	728.817			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	36		574	428	#N/A	#N/A	4992	0.34 %	0.12	105.02	117.97	1.12	0.177	0.309	1.796	0.151	1542.841	0.018	0.203	1.116	0.156	1014.526	0.000	0.118	1.038	0.136	589.136	0.000	0.422	5.900	0.788	2108.729	0.000	0.364	1.871	0.217	1815.027	0.000	0.039	0.369	0.041	192.312	0.006	0.061	0.192	0.022	304.854	0.510	0.771	1.400	0.107	3846.399			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	37		840	430	#N/A	#N/A	1888	0.13 %	0.18	48.32	107.30	2.22	0.197	0.319	0.814	0.115	602.179	0.000	0.457	1.778	0.442	863.289	0.000	0.205	1.019	0.178	386.396	0.000	1.348	6.442	1.206	2545.816	0.000	0.289	1.433	0.199	544.873	0.000	0.060	0.302	0.042	113.494	0.011	0.069	0.189	0.023	129.352	0.545	0.736	0.967	0.069	1389.586			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	38		668	456	#N/A	#N/A	1824	0.13 %	0.30	44.07	79.47	1.80	0.215	0.354	0.750	0.105	646.204	0.058	0.185	1.304	0.122	337.536	0.000	0.125	0.910	0.136	228.091	0.000	0.206	4.755	0.521	375.969	0.000	0.439	1.560	0.260	801.344	0.000	0.031	0.217	0.030	56.041	0.004	0.063	0.156	0.021	115.024	0.606	0.850	1.345	0.135	1549.987			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	39		1370	484	#N/A	#N/A	1264	0.09 %	0.38	44.29	55.95	1.26	0.214	0.343	1.234	0.155	433.944	0.000	0.160	1.081	0.111	202.253	0.000	0.275	1.171	0.235	347.429	0.000	1.956	8.396	1.989	2471.791	0.000	0.422	1.593	0.246	533.993	0.000	0.052	0.279	0.047	66.156	0.001	0.066	0.165	0.026	83.996	0.596	0.819	1.010	0.066	1035.130			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	40		514	526	#N/A	#N/A	3728	0.26 %	0.11	71.16	140.47	1.97	0.180	0.300	1.005	0.120	1117.418	0.015	0.204	1.287	0.144	760.456	0.000	0.128	0.883	0.128	478.355	0.000	0.479	4.835	0.711	1786.826	0.000	0.380	1.566	0.210	1418.477	0.000	0.040	0.286	0.033	148.062	0.004	0.066	0.150	0.021	245.944	0.571	0.781	1.319	0.100	2911.345			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	41		280	484	#N/A	#N/A	816	0.06 %	0.38	32.97	44.31	1.34	0.193	0.306	0.553	0.094	249.977	0.015	0.145	0.418	0.052	118.262	0.000	0.091	0.494	0.086	74.583	0.000	0.128	2.390	0.291	104.222	0.000	0.355	1.149	0.179	289.292	0.000	0.024	0.164	0.023	19.458	0.016	0.061	0.189	0.024	49.799	0.491	0.688	1.104	0.092	561.325			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	42		1058	500	#N/A	#N/A	2208	0.15 %	0.16	54.91	103.57	1.89	0.182	0.282	1.428	0.093	622.856	0.000	0.204	1.801	0.216	449.979	0.000	0.124	0.995	0.131	272.741	0.000	0.483	5.690	0.609	1067.488	0.000	0.252	0.862	0.174	556.380	0.000	0.023	0.150	0.023	50.447	0.000	0.050	0.156	0.019	109.514	0.472	0.712	1.109	0.106	1571.278			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	43		1176	502	#N/A	#N/A	1456	0.10 %	0.27	39.99	68.14	1.70	0.171	0.243	0.396	0.039	353.091	0.000	0.239	1.099	0.267	348.561	0.000	0.332	1.162	0.213	483.494	0.000	2.752	8.518	1.526	4007.138	0.000	0.360	1.602	0.274	524.109	0.000	0.067	0.415	0.050	96.925	0.013	0.072	0.214	0.026	104.187	0.468	0.745	1.026	0.099	1085.015			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	44		642	570	#N/A	#N/A	2464	0.17 %	0.18	56.17	106.13	1.89	0.186	0.376	1.132	0.189	925.682	0.000	0.316	2.245	0.363	778.668	0.000	0.144	1.040	0.147	354.222	0.000	0.615	4.256	0.772	1514.260	0.000	0.345	1.335	0.205	850.458	0.000	0.042	0.232	0.034	104.313	0.013	0.066	0.147	0.020	162.736	0.598	0.803	1.323	0.092	1977.393			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Stroma	45		1154	630	#N/A	#N/A	4528	0.31 %	0.14	97.27	133.85	1.38	0.167	0.261	1.568	0.145	1180.299	0.006	0.434	1.466	0.330	1964.575	0.000	0.189	1.361	0.199	856.237	0.000	1.215	6.222	1.321	5501.263	0.000	0.317	1.779	0.231	1437.375	0.000	0.050	0.369	0.056	227.479	0.006	0.064	0.265	0.027	290.057	0.497	0.729	0.982	0.068	3301.151			0	0	0	0	
