Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	34		628	472	#N/A	#N/A	976	0.07 %	0.50	37.10	39.58	1.07	0.697	2.007	4.557	1.092	1958.489	0.034	0.254	0.824	0.100	247.638	0.000	0.476	1.064	0.209	464.863	0.000	1.321	3.053	0.427	1289.113	0.000	0.588	2.885	0.344	574.112	0.000	0.032	0.154	0.033	31.545	0.005	0.096	0.240	0.031	93.377	0.000	0.286	0.960	0.273	278.709			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	35		592	532	#N/A	#N/A	1104	0.08 %	0.33	27.76	68.68	2.47	0.679	1.556	5.073	0.918	1718.293	0.000	0.223	0.777	0.110	246.703	0.000	0.545	3.045	0.442	602.109	0.547	3.756	36.333	5.046	4146.933	0.000	0.676	8.632	0.933	745.986	0.000	0.035	0.452	0.045	38.455	0.000	0.097	0.351	0.042	107.609	0.000	0.407	1.519	0.278	449.352			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	36		338	542	#N/A	#N/A	768	0.05 %	0.38	36.16	43.97	1.22	0.538	0.671	0.818	0.049	515.222	0.119	0.683	2.223	0.346	524.859	0.000	0.430	2.068	0.269	330.116	1.036	2.913	11.722	1.208	2237.383	0.000	0.490	1.997	0.388	376.168	0.000	0.051	0.253	0.044	39.416	0.008	0.105	0.208	0.035	80.640	0.378	0.714	1.056	0.113	548.276			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	37		798	802	#N/A	#N/A	1008	0.07 %	0.26	34.83	70.16	2.01	0.536	2.821	6.782	1.832	2844.014	0.000	0.213	0.867	0.142	214.726	0.116	1.297	3.412	0.512	1307.428	1.519	9.956	38.674	5.966	10035.973	0.000	0.474	3.060	0.547	478.182	0.000	0.055	0.235	0.051	55.210	0.022	0.194	0.481	0.074	195.816	0.000	0.389	1.582	0.457	392.416			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	38		754	814	#N/A	#N/A	1248	0.09 %	0.48	36.03	52.02	1.44	0.378	1.604	5.847	1.369	2001.899	0.000	0.160	1.182	0.184	199.796	0.000	1.855	4.641	0.685	2315.600	6.128	24.122	52.401	9.944	30104.729	0.000	1.276	8.488	1.639	1592.902	0.000	0.093	0.624	0.094	116.569	0.000	0.170	0.402	0.073	212.183	0.000	1.046	2.570	0.582	1305.993			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	39		1012	934	#N/A	#N/A	12960	0.90 %	0.13	140.55	200.21	1.42	0.412	1.236	7.904	0.876	16013.660	0.000	0.343	12.426	1.191	4443.730	0.000	0.954	6.073	0.705	12361.834	0.312	10.386	55.808	10.369	134608.190	0.000	0.838	9.283	1.080	10860.157	0.000	0.056	1.101	0.110	730.055	0.000	0.084	0.473	0.048	1089.740	0.000	0.819	3.008	0.425	10617.104			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	40		832	896	#N/A	#N/A	832	0.06 %	0.48	30.50	41.74	1.37	0.740	1.915	5.251	1.239	1593.078	0.000	0.246	1.394	0.148	204.993	0.000	0.627	1.455	0.254	521.348	0.000	3.210	12.795	1.991	2670.367	0.000	0.509	2.098	0.402	423.832	0.000	0.034	0.170	0.037	27.966	0.020	0.122	0.288	0.041	101.802	0.000	0.384	0.952	0.304	319.724			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	41		932	988	#N/A	#N/A	2160	0.15 %	0.18	61.88	98.05	1.58	0.774	2.587	7.154	1.854	5588.068	0.000	0.257	1.250	0.138	554.803	0.000	0.613	1.780	0.284	1324.223	0.000	2.306	20.470	1.671	4980.333	0.000	0.637	3.810	0.445	1375.500	0.000	0.032	0.221	0.039	68.682	0.000	0.128	0.358	0.049	276.149	0.000	0.330	1.232	0.305	711.729			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	42		394	1000	#N/A	#N/A	1440	0.10 %	0.22	39.26	87.22	2.22	0.418	0.791	2.045	0.184	1138.611	0.000	0.229	1.421	0.185	329.810	0.000	0.881	3.034	0.517	1268.886	0.757	8.421	36.402	6.719	12125.976	0.000	0.518	5.045	0.635	746.289	0.000	0.041	0.367	0.046	59.444	0.000	0.099	0.308	0.045	141.877	0.160	0.813	1.857	0.243	1171.413			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	43		846	1016	#N/A	#N/A	1056	0.07 %	0.30	44.02	48.01	1.09	0.476	1.925	4.765	1.287	2032.819	0.000	0.186	1.044	0.173	196.285	0.000	1.019	2.757	0.480	1075.710	0.942	8.515	40.587	7.020	8992.075	0.000	0.768	7.929	0.998	811.183	0.000	0.036	0.256	0.046	37.624	0.000	0.127	0.338	0.061	134.362	0.000	0.526	2.036	0.446	555.298			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Stroma	44		316	1024	#N/A	#N/A	2064	0.14 %	0.32	32.55	96.02	2.95	0.453	0.737	3.261	0.346	1521.981	0.000	0.229	1.083	0.196	472.758	0.000	0.621	2.166	0.297	1281.612	0.725	6.157	27.428	4.152	12707.308	0.000	0.507	4.513	0.662	1046.874	0.000	0.035	0.278	0.040	71.508	0.000	0.078	0.219	0.035	160.478	0.000	0.706	1.457	0.197	1457.622			0	0	0	0	
