"Path"	"Sample_Name"	"Tissue_Category"	"Region_ID"	"Total_Regions"	"Region_X_Position"	"Region_Y_Position"	"Process_Region_ID"	"Distance_from_Process_Region_Edge_pixels"	"Region_Area_pixels"	"Region_Area_percent"	"Region_Compactness"	"Region_Minor_Axis"	"Region_Major_Axis"	"Region_Axis_Ratio"	"DAPI_Min_Normalized_Counts_Total_Weighting"	"DAPI_Mean_Normalized_Counts_Total_Weighting"	"DAPI_Max_Normalized_Counts_Total_Weighting"	"DAPI_Std_Dev_Normalized_Counts_Total_Weighting"	"DAPI_Total_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Min_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Mean_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Max_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Std_Dev_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Total_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Min_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Mean_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Max_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Std_Dev_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Total_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Min_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Mean_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Max_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Std_Dev_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Total_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Min_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Mean_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Max_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Std_Dev_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Total_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Min_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Mean_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Max_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Std_Dev_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Total_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Min_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Mean_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Max_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Std_Dev_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Total_Normalized_Counts_Total_Weighting"	"Autofluorescence_Min_Normalized_Counts_Total_Weighting"	"Autofluorescence_Mean_Normalized_Counts_Total_Weighting"	"Autofluorescence_Max_Normalized_Counts_Total_Weighting"	"Autofluorescence_Std_Dev_Normalized_Counts_Total_Weighting"	"Autofluorescence_Total_Normalized_Counts_Total_Weighting"	"Lab_ID"	"Slide_ID"	"TMA_Sector"	"TMA_Row"	"TMA_Column"	"TMA_Field"	"inForm_2_2_5800_23313"
"E:\Original MANTRA official all pics"	"cu-07-05 B D_5.im3"	"Stroma"	11	NA	1220	160	"#N/A"	"#N/A"	768	"0.05 %"	0.4	30.76	44.87	1.46	0.332	2.202	3.877	0.779	1691.132	0	0.132	0.378	0.063	101.308	0	0.539	2.065	0.274	414.102	0	1.565	23.529	3.588	1201.971	0	0.89	2.863	0.36	683.183	0	0.021	0.168	0.027	16.377	0.036	0.139	0.322	0.035	107.097	0	0.22	1.495	0.278	168.736	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_5.im3"	"Stroma"	12	NA	744	190	"#N/A"	"#N/A"	1168	"0.08 %"	0.38	31.86	65.95	2.07	0.134	0.298	2.005	0.237	348.453	0	0.079	0.429	0.05	92.291	0	0.214	1.711	0.269	249.901	0.134	3.751	21.247	3.736	4381.576	0	0.442	2.835	0.425	515.848	0	0.023	0.13	0.026	27.082	0	0.087	0.174	0.02	101.361	0.059	0.938	1.355	0.158	1096.041	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_5.im3"	"Stroma"	13	NA	562	238	"#N/A"	"#N/A"	6336	"0.44 %"	0.21	87.67	154.94	1.77	0.131	0.59	4.298	0.57	3737.527	0	0.15	1.16	0.13	948.424	0	0.383	2.251	0.373	2427.403	0	2.944	31.283	3.529	18653.594	0	0.516	4.845	0.528	3269.015	0	0.021	0.191	0.025	132.14	0	0.077	0.17	0.025	490.767	0	0.861	2.723	0.44	5457.29	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_5.im3"	"Stroma"	14	NA	146	236	"#N/A"	"#N/A"	2160	"0.15 %"	0.34	37.77	95.99	2.54	0.266	0.48	1.894	0.241	1036.45	0	0.151	0.779	0.109	326.241	0	0.436	2.583	0.35	940.827	0.274	5.413	32.12	4.68	11692.65	0	0.6	4.925	0.7	1296.735	0	0.019	0.171	0.027	41.489	0	0.076	0.202	0.032	164.578	0	0.739	1.534	0.186	1596.059	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_5.im3"	"Stroma"	15	NA	888	370	"#N/A"	"#N/A"	25008	"1.73 %"	0.1	162.45	328.82	2.02	0.159	0.576	5.364	0.585	14407.397	0	0.096	4.289	0.139	2401.252	0	0.377	2.906	0.404	9420.386	0	4.742	39.831	5.774	118578.308	0	0.402	6.249	0.547	10063.493	0	0.022	0.38	0.031	551.071	0	0.075	0.332	0.028	1867.537	0	0.761	1.931	0.243	19040.216	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_5.im3"	"Stroma"	16	NA	638	300	"#N/A"	"#N/A"	800	"0.06 %"	0.46	22.24	50.5	2.27	0.267	0.438	0.534	0.04	350.166	0	0.109	0.558	0.067	86.906	0	0.29	1.527	0.247	232.366	0.443	3.35	20.849	3.447	2680.173	0	0.442	3.224	0.496	353.381	0	0.018	0.143	0.022	14.118	0	0.067	0.174	0.021	53.8	0.443	0.792	1.394	0.17	633.577	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_5.im3"	"Stroma"	17	NA	1024	386	"#N/A"	"#N/A"	1376	"0.10 %"	0.36	40.22	64.57	1.61	0.219	0.382	0.864	0.065	525.184	0	0.045	0.313	0.057	61.414	0	0.521	1.859	0.382	717.158	0.88	8.147	29.473	5.897	11210.615	0	0.481	5.276	0.749	661.95	0	0.018	0.192	0.024	24.313	0	0.071	0.159	0.032	97.828	0.32	0.878	1.678	0.193	1208.136	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_5.im3"	"Stroma"	18	NA	462	430	"#N/A"	"#N/A"	7344	"0.51 %"	0.24	115.99	127.4	1.1	0.142	0.427	3.356	0.411	3133.305	0	0.081	0.514	0.058	591.686	0	0.369	2.571	0.381	2707.17	0.149	4.711	31.834	4.938	34599.642	0	0.457	3.822	0.539	3355.714	0	0.023	0.181	0.027	170.105	0	0.083	0.251	0.027	608.554	0	0.879	1.872	0.192	6452.743	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_5.im3"	"Stroma"	19	NA	46	482	"#N/A"	"#N/A"	4320	"0.30 %"	0.26	92.26	92.33	1	0.158	0.737	5.87	0.894	3185.053	0	0.093	0.751	0.095	400.177	0	0.615	3.268	0.484	2658.341	0.194	8.405	36.285	6.784	36310.727	0	0.768	8.165	1.089	3318.778	0	0.029	0.414	0.047	126.124	0	0.077	0.36	0.044	333.901	0	0.708	1.888	0.346	3057.81	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_5.im3"	"Stroma"	20	NA	1134	486	"#N/A"	"#N/A"	1072	"0.07 %"	0.38	41.1	45.35	1.1	0.375	0.953	3.368	0.798	1021.539	0	0.077	0.542	0.067	82.719	0	0.349	1.549	0.337	373.593	0	2.931	11.873	2.411	3141.583	0	0.319	1.778	0.35	341.852	0	0.019	0.129	0.025	19.931	0	0.078	0.174	0.027	83.956	0	0.474	1.168	0.265	508.294	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-07-05 B D_5.im3"	"Stroma"	21	NA	572	504	"#N/A"	"#N/A"	2368	"0.16 %"	0.35	47.66	84.5	1.77	0.216	0.637	4.033	0.628	1508.53	0	0.096	1.532	0.206	227.873	0	0.807	2.637	0.429	1910.708	1.339	12.296	37.96	7.121	29116.052	0	0.676	6.117	0.944	1600.966	0	0.029	0.358	0.041	69	0	0.088	0.235	0.038	209.002	0	0.913	2.119	0.31	2162.221	NA	NA	0	0	0	0	NA
