"Path"	"Sample_Name"	"Tissue_Category"	"Region_ID"	"Total_Regions"	"Region_X_Position"	"Region_Y_Position"	"Process_Region_ID"	"Distance_from_Process_Region_Edge_pixels"	"Region_Area_pixels"	"Region_Area_percent"	"Region_Compactness"	"Region_Minor_Axis"	"Region_Major_Axis"	"Region_Axis_Ratio"	"DAPI_Min_Normalized_Counts_Total_Weighting"	"DAPI_Mean_Normalized_Counts_Total_Weighting"	"DAPI_Max_Normalized_Counts_Total_Weighting"	"DAPI_Std_Dev_Normalized_Counts_Total_Weighting"	"DAPI_Total_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Min_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Mean_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Max_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Std_Dev_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Total_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Min_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Mean_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Max_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Std_Dev_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Total_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Min_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Mean_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Max_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Std_Dev_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Total_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Min_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Mean_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Max_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Std_Dev_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Total_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Min_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Mean_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Max_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Std_Dev_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Total_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Min_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Mean_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Max_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Std_Dev_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Total_Normalized_Counts_Total_Weighting"	"Autofluorescence_Min_Normalized_Counts_Total_Weighting"	"Autofluorescence_Mean_Normalized_Counts_Total_Weighting"	"Autofluorescence_Max_Normalized_Counts_Total_Weighting"	"Autofluorescence_Std_Dev_Normalized_Counts_Total_Weighting"	"Autofluorescence_Total_Normalized_Counts_Total_Weighting"	"Lab_ID"	"Slide_ID"	"TMA_Sector"	"TMA_Row"	"TMA_Column"	"TMA_Field"	"inForm_2_2_5800_23313"
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	33	NA	1362	622	"#N/A"	"#N/A"	1504	"0.10 %"	0.32	54.42	57.11	1.05	0.154	0.293	1.907	0.25	440.661	0	0.1	0.6	0.069	150.466	0	0.079	0.942	0.15	118.316	0	1.157	7.638	1.113	1740.726	0	0.186	0.817	0.158	280.388	0	0.039	0.185	0.034	58.658	0	0.055	0.142	0.027	82.94	0.436	0.692	1.014	0.088	1041.063	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	34	NA	90	658	"#N/A"	"#N/A"	2720	"0.19 %"	0.16	60.51	106.7	1.76	0.128	0.463	3.941	0.549	1258.504	0	0.215	1.068	0.205	585.252	0	0.298	1.517	0.287	811.667	0	3.501	11.796	2.651	9523.635	0	0.37	2.393	0.389	1007.504	0	0.115	1.864	0.219	313.485	0	0.1	0.292	0.045	273.087	0.296	0.689	1.057	0.092	1874.385	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	35	NA	1010	690	"#N/A"	"#N/A"	1520	"0.10 %"	0.28	35.25	79.03	2.24	0.174	0.243	0.319	0.023	369.511	0	0.062	0.536	0.053	94.922	0	0.245	1.761	0.32	372.41	0.024	2.577	13.642	2.753	3917.527	0	0.153	1.342	0.194	231.995	0	0.036	0.172	0.034	55.166	0	0.076	0.207	0.033	115.612	0.378	0.742	1.015	0.085	1127.426	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	36	NA	32	730	"#N/A"	"#N/A"	4960	"0.34 %"	0.22	62.22	151.36	2.43	0.111	0.316	3.206	0.382	1565.439	0	0.201	0.984	0.203	996.955	0	0.36	1.721	0.279	1784.045	0.256	4.672	12.151	2.213	23174.439	0	0.41	2.759	0.405	2031.883	0	0.045	0.29	0.044	223.88	0	0.106	0.309	0.045	526.518	0.346	0.688	1.108	0.1	3414.365	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	37	NA	684	732	"#N/A"	"#N/A"	7568	"0.52 %"	0.1	119.5	135.73	1.14	0.145	0.388	2.74	0.336	2935.753	0	0.088	0.304	0.039	668.9	0	0.066	1.224	0.145	496.333	0	0.902	12.227	1.459	6824.035	0	0.206	1.997	0.167	1559.593	0	0.049	0.191	0.033	367.156	0	0.064	0.316	0.034	482.297	0.323	0.775	1.138	0.103	5867.279	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	38	NA	1096	696	"#N/A"	"#N/A"	1120	"0.08 %"	0.25	48.17	56.04	1.16	0.173	0.457	3.14	0.507	512.336	0	0.107	0.587	0.098	119.962	0	0.175	1.689	0.277	195.697	0	1.981	11.932	2.206	2218.492	0	0.181	1.653	0.223	203.133	0	0.045	0.239	0.039	50.243	0	0.075	0.302	0.044	84.392	0.289	0.742	1.268	0.117	830.652	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	39	NA	820	790	"#N/A"	"#N/A"	13280	"0.92 %"	0.15	128.19	203.82	1.59	0.146	0.294	2.869	0.215	3909.505	0	0.082	0.874	0.067	1094.743	0	0.219	1.958	0.28	2909.696	0	2.391	13.124	2.29	31749.7	0	0.166	1.952	0.19	2209.815	0	0.038	0.194	0.033	509.204	0	0.071	0.263	0.033	937.479	0.316	0.758	1.477	0.089	10063.347	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	40	NA	1168	864	"#N/A"	"#N/A"	93392	"6.45 %"	0.08	352.63	448.27	1.27	0.132	0.492	4.061	0.449	45912.04	0	0.061	0.64	0.041	5716.671	0	0.107	2.488	0.192	10008.48	0	1.431	15.163	1.988	133672.445	0	0.216	2.45	0.185	20173.173	0	0.046	0.291	0.036	4340.513	0	0.048	0.936	0.039	4506.728	0.364	0.801	2.095	0.113	74806.491	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	41	NA	428	790	"#N/A"	"#N/A"	9840	"0.68 %"	0.11	107.24	233.92	2.18	0.139	0.313	2.836	0.265	3083.723	0	0.08	0.442	0.052	791.412	0	0.171	1.578	0.221	1683.609	0	1.987	15.24	2.058	19553.585	0	0.178	1.669	0.176	1749.73	0	0.04	0.183	0.034	398.102	0	0.072	0.391	0.032	712.368	0.367	0.74	1.279	0.113	7282.312	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Stroma"	42	NA	286	724	"#N/A"	"#N/A"	1024	"0.07 %"	0.53	33.44	41.32	1.24	0.146	0.244	1.073	0.111	250.2	0	0.139	0.359	0.061	142.709	0	0.111	1.012	0.181	113.754	0	1.377	7.98	1.623	1409.551	0	0.235	1.364	0.211	241.043	0	0.039	0.15	0.032	40.161	0	0.076	0.226	0.036	77.527	0.472	0.654	0.95	0.074	669.983	NA	NA	0	0	0	0	NA
